,TeamName,GameType,Games,Wins,WinRate
0,30 seconds to mosh,Custom,46,25,0.54
1,30 seconds to mosh,QuickMatch,70,41,0.59
2,30 seconds to mosh,StormLeague,100,47,0.47
3,beyonce gnolls,Custom,19,8,0.42
4,beyonce gnolls,StormLeague,5,3,0.6
5,bunker fun time academy,StormLeague,5,4,0.8
6,chogall chocolate factory,Custom,14,8,0.57
7,chogall chocolate factory,QuickMatch,3,3,1.0
8,ff & the pancakes,Custom,105,62,0.59
9,ff & the pancakes,QuickMatch,17,8,0.47
10,ff & the pancakes,StormLeague,175,86,0.49
11,gold dragons,Custom,10,2,0.2
12,gold dragons,QuickMatch,3,0,0.0
13,gold dragons,StormLeague,6,3,0.5
14,infernal misfits,Custom,17,14,0.82
15,infernal misfits,QuickMatch,19,11,0.58
16,infernal misfits,StormLeague,13,13,1.0
17,ltk - we hate obj,Custom,10,7,0.7
18,ltk - we hate obj,StormLeague,4,3,0.75
19,out of pocket,Custom,8,2,0.25
20,out of pocket,QuickMatch,6,1,0.17
21,out of pocket,StormLeague,73,30,0.41
22,smoke,Custom,4,3,0.75
23,souls in slowmo,Custom,10,2,0.2
24,souls in slowmo,StormLeague,15,8,0.53
25,ycmyccastep7:cheeseawakens,Custom,47,13,0.28
26,ycmyccastep7:cheeseawakens,QuickMatch,50,32,0.64
27,ycmyccastep7:cheeseawakens,StormLeague,7,3,0.43
