,TeamName,MapName,Games,Wins,WinRate
0,30 seconds to mosh,Alterac Pass,22,12,0.55
1,30 seconds to mosh,Battlefield of Eternity,21,11,0.52
2,30 seconds to mosh,Blackheart's Bay,6,2,0.33
3,30 seconds to mosh,Braxis Holdout,16,7,0.44
4,30 seconds to mosh,Cursed Hollow,9,5,0.56
5,30 seconds to mosh,Dragon Shire,18,9,0.5
6,30 seconds to mosh,Garden of Terror,15,6,0.4
7,30 seconds to mosh,Hanamura Temple,12,6,0.5
8,30 seconds to mosh,Infernal Shrines,16,11,0.69
9,30 seconds to mosh,Sky Temple,14,7,0.5
10,30 seconds to mosh,Tomb of the Spider Queen,19,9,0.47
11,30 seconds to mosh,Towers of Doom,23,13,0.57
12,30 seconds to mosh,Volskaya Foundry,4,3,0.75
13,30 seconds to mosh,Warhead Junction,12,6,0.5
14,beyonce gnolls,Alterac Pass,1,1,1.0
15,beyonce gnolls,Battlefield of Eternity,4,1,0.25
16,beyonce gnolls,Blackheart's Bay,1,1,1.0
17,beyonce gnolls,Braxis Holdout,1,0,0.0
18,beyonce gnolls,Cursed Hollow,1,0,0.0
19,beyonce gnolls,Dragon Shire,2,1,0.5
20,beyonce gnolls,Garden of Terror,1,1,1.0
21,beyonce gnolls,Haunted Mines,1,1,1.0
22,beyonce gnolls,Infernal Shrines,1,0,0.0
23,beyonce gnolls,Sky Temple,1,1,1.0
24,beyonce gnolls,Tomb of the Spider Queen,2,1,0.5
25,beyonce gnolls,Towers of Doom,2,1,0.5
26,beyonce gnolls,Volskaya Foundry,2,1,0.5
27,beyonce gnolls,Warhead Junction,1,0,0.0
28,bunker fun time academy,Garden of Terror,1,1,1.0
29,bunker fun time academy,Hanamura Temple,1,1,1.0
30,bunker fun time academy,Sky Temple,1,1,1.0
31,chogall chocolate factory,Alterac Pass,1,1,1.0
32,chogall chocolate factory,Battlefield of Eternity,2,2,1.0
33,chogall chocolate factory,Blackheart's Bay,1,1,1.0
34,chogall chocolate factory,Cursed Hollow,1,1,1.0
35,chogall chocolate factory,Dragon Shire,2,0,0.0
36,chogall chocolate factory,Infernal Shrines,3,2,0.67
37,chogall chocolate factory,Sky Temple,1,1,1.0
38,chogall chocolate factory,Tomb of the Spider Queen,3,2,0.67
39,chogall chocolate factory,Towers of Doom,1,1,1.0
40,ff & the pancakes,Alterac Pass,14,8,0.57
41,ff & the pancakes,Battlefield of Eternity,20,10,0.5
42,ff & the pancakes,Blackheart's Bay,2,0,0.0
43,ff & the pancakes,Braxis Holdout,19,13,0.68
44,ff & the pancakes,Cursed Hollow,17,8,0.47
45,ff & the pancakes,Dragon Shire,30,18,0.6
