,ReplayFingerPrint,TeamName,Team,Battletag
13,002c6f7e-201f-cc99-de70-5b573b81bb3b,ff & the pancakes,1,5
35,004c5f8f-e124-05b0-8a5e-e01f286190b7,ff & the pancakes,1,5
43,005c08b8-bf9c-936a-f353-cf8cffa7171d,out of pocket,1,5
52,0070e414-bbbf-2410-1d90-48d701f3cc62,ff & the pancakes,1,5
80,00b651c2-4c44-4095-cb85-40fc021419dc,chogall chocolate factory,0,5
199,01d1a17a-b630-ab18-9398-f76836771426,ff & the pancakes,1,5
263,024ef2e4-cf98-42d2-c3f5-fbdfa6d86c0a,beyonce gnolls,0,5
291,027f687c-989e-5b64-a60b-ffe229273c24,out of pocket,1,5
405,0388d0ae-e185-67d2-c893-2358d20c5138,ff & the pancakes,0,5
420,03b7fc9e-3882-1671-b136-55c01cada314,30 seconds to mosh,1,5
425,03c05fc2-660d-96df-5c06-98f3227d0a76,ff & the pancakes,1,5
494,04456aab-5d77-f878-62ec-16231dae9596,30 seconds to mosh,0,5
528,0485cb53-2a42-f994-060e-e8c5e3461497,ff & the pancakes,0,5
548,04bb16c3-543c-1745-fbc9-5246bb9656eb,30 seconds to mosh,0,5
580,04f2062a-4c92-b619-6617-fc3110f63054,beyonce gnolls,1,5
602,05151f98-f093-4f9f-0d7a-909caf76d954,out of pocket,1,5
611,052dc87e-c3b4-f553-0d85-e2044154b311,30 seconds to mosh,0,5
617,053865ea-e396-cb1a-dfe6-1588e6e4605b,30 seconds to mosh,1,5
637,055c74f6-fc79-a252-b23f-39531735633e,ff & the pancakes,0,5
651,057f0375-ffa6-3ba0-04b7-8856477dfffb,infernal misfits,1,5
690,05da3559-7fe1-c91b-b2d9-daee7f998df0,ff & the pancakes,0,5
691,05da3559-7fe1-c91b-b2d9-daee7f998df0,ycmyccastep7:cheeseawakens,1,5
713,06014cb6-de48-9f00-b563-2b0519f372d7,ff & the pancakes,1,5
727,061e9a0a-33c0-381b-4d69-ea5550fb69f2,30 seconds to mosh,0,5
732,0622812a-dcd3-dddd-6a48-485a5b7e775f,ff & the pancakes,0,5
737,0630140b-6b56-7b92-6dd6-e169e071bfd6,30 seconds to mosh,0,5
759,06503ec4-c707-29e5-88f4-664b726a9d23,infernal misfits,0,5
851,0715bb99-fa73-6ab3-f93d-c35fbc6aa48d,ycmyccastep7:cheeseawakens,1,5
911,07950b68-a59b-88b0-0a64-895bd0dc7576,ff & the pancakes,1,5
1020,088ea5d7-627f-29a1-e2c4-ddc4273070e2,ff & the pancakes,0,5
1065,08f711ee-2001-9939-11a6-1a3157eeca2c,ff & the pancakes,0,5
1092,09325233-a6ab-769f-d041-d8f36dcb1028,ff & the pancakes,0,5
1094,09336aab-3206-3c06-658f-565284f91d84,ff & the pancakes,1,5
1106,095698e2-82d1-c421-0ea1-fd367a335a47,ycmyccastep7:cheeseawakens,0,5
1136,09b30dc2-2de6-1907-0933-68fa2d5e7c9e,out of pocket,1,5
1192,0a3fa679-b23e-1bfa-6243-1bfdf7b3906d,ff & the pancakes,0,5
1237,0aa43090-ace6-b769-6100-ee9a57b45bd9,ycmyccastep7:cheeseawakens,1,5
1265,0ae21f7a-c846-6064-55ab-d9e7d2f33a43,ff & the pancakes,1,5
1322,0b688b74-5bb1-86ce-0006-ac16b899205d,chogall chocolate factory,0,5
1333,0b7a6539-4184-1a66-b9a7-2256b9a70c00,gold dragons,1,5
1372,0bdef314-c906-b807-00e0-a6ea78eb2e64,souls in slowmo,1,5
1428,0c64affc-c1e6-4d2c-a2df-bb7414bc171f,30 seconds to mosh,1,5
1493,0ce995e9-de60-0d0e-4f1e-872d2df6231d,ycmyccastep7:cheeseawakens,0,5
1530,0d502215-1905-d648-cb3b-0ad9eb707b95,30 seconds to mosh,0,5
1531,0d5280b4-4554-6e0b-4484-27cf41c863be,ff & the pancakes,1,5
1567,0da409c4-d003-61e0-3bf2-7174c7212afb,ycmyccastep7:cheeseawakens,0,5
1612,0dfa530f-53dc-39e1-4471-0b431bd61722,ff & the pancakes,1,5
1634,0e26eb2c-e510-f362-fb1e-d4b96eb3039a,infernal misfits,0,5
1704,0ed9a3ca-9feb-2852-4f48-1599b469e455,beyonce gnolls,1,5
1725,0f03df2b-50a7-f0a3-5666-7048ead8fd93,30 seconds to mosh,0,5
1729,0f107777-2741-b3aa-c9a7-91c3a8f52063,ff & the pancakes,1,5
1760,0f568f77-b9f2-e892-bbbd-6ac0bb68b8de,30 seconds to mosh,1,5
1797,0fa361ff-fdf9-e7bf-7095-90f4668db15e,infernal misfits,1,5
1798,0fa54d98-605e-6a9a-b5f7-af3a3f6f6d6c,out of pocket,1,5
1844,0ffee4e1-804a-9b24-3987-daefd626cd72,infernal misfits,0,5
1845,0ffee4e1-804a-9b24-3987-daefd626cd72,souls in slowmo,1,5
1858,1019ba87-7216-ab03-b97b-b54043caf4b9,ff & the pancakes,0,5
1921,10c5b7c0-9c85-d841-06d6-e9ee7afdbb24,ycmyccastep7:cheeseawakens,0,5
1928,10cebe03-73d4-90ba-05f5-c2488bff46f8,30 seconds to mosh,1,5
1951,1113167e-1282-0d51-e39e-3bfa4d16040b,out of pocket,1,5
1987,117532ea-0f07-5b2c-18d7-b72fd27c6a3f,ycmyccastep7:cheeseawakens,0,5
2007,11a5f26d-fe16-f6c5-d256-c625fb050d7b,infernal misfits,1,5
2073,12345b8d-cb76-db93-fe8f-216dad74974a,ff & the pancakes,0,5
2117,12a43896-647c-f95a-ccc1-f572a90a6f87,ycmyccastep7:cheeseawakens,1,5
