index,PlayerId,BlizzardId,TeamName,TeamRank,Battletag,AccountLevel,Rank,Level,SL_MMR,LastNinety,GamesPlayed,Bruiser,Healer,Support,Tank,DPS,Melee,Ranged,FirstPlayed,LastPlayed
0,2170,8356018,ycmyccastep7:cheeseawakens,G5,sarahlynneee#1194,558,S3,8,2539.0,145,1552,178,72,2,42,1200,33,1167,2021-12-30 01:27:46,2022-09-08 02:36:42
1,195,7634539,ycmyccastep7:cheeseawakens,G5,galactose#11687,659,S4,7,2399.0,32,1923,109,1478,1,144,171,10,161,2021-12-30 01:27:46,2022-09-08 02:36:42
2,186,1160672,ycmyccastep7:cheeseawakens,G5,andrade#1700,1300,P5,16,2536.0,82,1681,218,144,9,1049,234,84,150,2021-12-30 01:27:46,2022-09-08 02:36:42
3,2171,5880131,ycmyccastep7:cheeseawakens,G5,camel#11296,598,S4,7,1711.0,71,176,10,44,0,24,84,16,68,2021-12-30 01:27:46,2022-09-08 02:36:42
4,1146,8220075,ycmyccastep7:cheeseawakens,G5,shancb9#1737,1247,P2,19,2739.0,196,4620,431,708,486,253,2661,282,2379,2021-12-30 01:27:46,2022-09-08 02:36:42
5,253,1715295,ycmyccastep7:cheeseawakens,G5,auraluna#1995,1487,S1,10,2532.0,103,3174,142,1538,186,61,1193,228,965,2021-12-30 01:27:46,2022-09-08 02:36:42
6,1511,203254,ycmyccastep7:cheeseawakens,G5,yelly#11561,2226,S2,9,2552.0,85,4505,767,752,54,1000,1919,283,1636,2021-12-30 01:27:46,2022-09-08 02:36:42
7,56,1399912,souls in slowmo,S3,lagwagon#1277,1239,S4,7,2543.0,76,3082,273,848,20,412,1526,53,1473,2022-08-05 01:59:58,2022-09-09 03:14:20
8,96271,639369,souls in slowmo,S3,k4k#11438,1437,S1,10,2391.0,172,1892,373,330,21,215,866,160,706,2022-08-05 01:59:58,2022-09-09 03:14:20
9,65929,1261361,souls in slowmo,S3,starpretzel#1898,985,S2,9,2515.0,377,2762,135,214,28,191,316,40,276,2022-08-05 01:59:58,2022-09-09 03:14:20
10,29502,10325589,souls in slowmo,S3,skyjius#1443,686,S3,8,2309.0,124,645,41,22,7,455,53,13,40,2022-08-05 01:59:58,2022-09-09 03:14:20
11,111060,11190569,souls in slowmo,S3,ohmster#11850,209,U1,0,2503.0,301,301,21,35,10,50,119,7,112,2022-08-05 01:59:58,2022-09-09 03:14:20
12,345,1720885,souls in slowmo,S3,dontris#1617,1662,G1,15,2648.0,369,3370,725,516,121,488,1333,190,1143,2022-08-05 01:59:58,2022-09-09 03:14:20
13,11600,6361673,souls in slowmo,S3,urbanpunk#11242,929,S3,8,2644.0,163,1242,261,105,15,217,540,83,457,2022-08-05 01:59:58,2022-09-09 03:14:20
14,5064,1010991,smoke,G4,deathunbound#1813,724,G3,13,2685.0,100,646,63,109,9,313,95,23,72,2022-08-04 01:37:17,2022-09-10 03:43:25
15,14159,10269097,smoke,G4,shadowdroid#11644,1733,P1,20,2803.0,61,3176,391,184,137,954,1459,23,1436,2022-08-04 01:37:17,2022-09-10 03:43:25
16,95754,1185964,smoke,G4,sassybird#1625,1208,S1,10,2546.0,201,900,95,249,38,21,465,51,414,2022-08-04 01:37:17,2022-09-10 03:43:25
17,6786,4427262,smoke,G4,drakon3oh3#1274,551,G4,12,2620.0,458,1599,314,183,13,342,683,101,582,2022-08-04 01:37:17,2022-09-10 03:43:25
18,5143,7182435,smoke,G4,astroskee#1144,685,S2,9,2550.0,257,2254,43,1352,106,102,476,26,450,2022-08-04 01:37:17,2022-09-10 03:43:25
19,54315,6618305,smoke,G4,babywhale#11303,530,S3,8,2491.0,143,962,263,81,12,164,380,70,310,2022-08-04 01:37:17,2022-09-10 03:43:25
20,96262,5218835,smoke,G4,lovesatanxx#1519,1536,G5,11,2470.0,720,3870,455,1131,48,373,1570,115,1455,2022-08-04 01:37:17,2022-09-10 03:43:25
21,13978,1128148,out of pocket,S3,orcnbeans#1996,1349,G4,12,2651.0,398,3794,308,1368,11,1522,376,7,369,2021-02-09 17:20:35,2022-09-07 01:57:25
22,13962,5136166,out of pocket,S3,vates#1396,887,B1,5,2474.0,184,2393,826,150,12,394,919,61,858,2021-02-09 17:20:35,2022-09-07 01:57:25
23,54569,1547343,out of pocket,S3,mongopwn#1826,728,P3,18,2158.0,25,430,108,94,0,49,157,53,104,2021-02-09 17:20:35,2022-09-07 01:57:25
24,13979,1688852,out of pocket,S3,innoculis#1912,155,B2,4,2291.0,66,213,2,6,0,0,162,0,162,2021-02-09 17:20:35,2022-09-07 01:57:25
25,29900,697018,out of pocket,S3,mrslippers#1905,611,B1,5,2423.0,112,1401,351,322,0,57,612,38,574,2021-02-09 17:20:35,2022-09-07 01:57:25
26,13980,9453045,out of pocket,S3,kocky#1262,522,S4,7,2570.0,254,2568,296,39,3,639,1468,846,622,2021-02-09 17:20:35,2022-09-07 01:57:25
27,29901,1129841,out of pocket,S3,yessir#1958,581,S3,8,2548.0,63,1990,545,384,22,110,903,75,828,2021-02-09 17:20:35,2022-09-07 01:57:25
28,5490,604969,ltk - we hate obj,G5,bodiddly#1106,1392,S1,10,2736.0,556,3404,776,606,93,323,1352,159,1193,2022-07-29 01:37:30,2022-09-07 02:05:40
29,26768,10555838,ltk - we hate obj,G5,zoomthenboom#1452,1260,G3,13,2621.0,382,2273,243,500,17,186,1169,16,1153,2022-07-29 01:37:30,2022-09-07 02:05:40
30,9107,1029824,ltk - we hate obj,G5,goodgamesir#1162,541,S4,7,2615.0,61,736,181,100,0,35,383,10,373,2022-07-29 01:37:30,2022-09-07 02:05:40
31,60,10689495,ltk - we hate obj,G5,magius#1794,590,S1,10,2578.0,56,868,311,29,0,461,53,6,47,2022-07-29 01:37:30,2022-09-07 02:05:40
32,5491,659436,ltk - we hate obj,G5,bowserking#11311,1738,P4,17,2775.0,985,4338,457,755,74,1076,1680,286,1394,2022-07-29 01:37:30,2022-09-07 02:05:40
33,57,10683706,ltk - we hate obj,G5,lastmalkier#1516,700,S2,9,2693.0,148,1488,400,54,6,207,732,58,674,2022-07-29 01:37:30,2022-09-07 02:05:40
34,8078,8674910,ltk - we hate obj,G5,vicar#1189,1591,G2,14,2651.0,222,2410,190,1216,83,316,503,27,476,2022-07-29 01:37:30,2022-09-07 02:05:40
35,96260,5017679,infernal misfits,S1,joedimmortal#1579,766,G3,13,2600.0,256,704,105,104,18,146,181,43,138,2022-07-08 23:45:05,2022-09-07 01:57:25
36,96261,6987080,infernal misfits,S1,lonewolf#14187,1079,G3,13,3096.0,509,1886,298,273,7,134,973,71,902,2022-07-08 23:45:05,2022-09-07 01:57:25
